Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon
X159,Captain William Harry Thompson Playground,E 174 St. & Bronx River Ave.,,N,40.8342,-73.8775
X179,52 Playground,Kelly St. & Ave. St. John,,N,40.8149,-73.9021
X216,Abigail Adams Playground,Tinton Ave. & E 156 St.,,N,40.8172,-73.9044
X169,Agnes Haywood Playground,Barnes Ave. & E 215 St.,,N,40.8804,-73.8619
X172,Allerton Playground,Bouck & Throop Aves.,,N,40.8659,-73.8503
X187,Angelo Campanero Playground,"Gun Hill Rd., Eastchester Rd. and O'Neill Pl.",,N,40.8679,-73.843
X001,Aqueduct Lands Playground,"W 183 St., Aqueduct Ave., W Tremont Ave. and University Ave.",,N,40.8634,-73.9035
X219,Arcilla Playground,E 164 St. & Teller Ave.,,N,40.8271,-73.9145
X150J,Bailey Playground,Bailey Ave. & W 234-W 238 Sts.,,N,40.8811,-73.9008
X166,Behagen Playground,"E 166 St., Union Ave. and Tinton Ave.",,N,40.8254,-73.9015
X108,Belmont Playground,Crotona Ave. & E 181 St.,,N,40.8497,-73.8875
X002,Brady Playground,Bronxdale Ave. & Bronx Pk E,,N,40.8512,-73.8705
X148A3,Bridge Playground,"Boscobel Pl., University Ave. and W 171 St.",,N,40.8443,-73.924
X183,Bruckner Playground,Phillips Ave. & E 177 St.,,N,40.8268,-73.8289
X121,Bufano Playground,"Bradford, Edison, La Salle and Waterbury Aves.",,N,40.838,-73.8312
X194,Capt. Rivera Playground,Forest Ave. & E 156 St.,,N,40.8179,-73.907
X160,Caserta Playground,St. Raymond Ave. & Odell St.,,N,40.8372,-73.854
X111,Cedar Playground,W 179 St. & Sedgwick Ave.,,N,40.8548,-73.9177
X008,Claremont Park,E 170 St. & Teller Ave.,,N,40.8378,-73.9082
X200,Clark Playground,E 144 St. & 3 Ave.,,N,40.8136,-73.9211
X010,Crotona Playground #11,Fulton Ave. between E 172 St. and Claremont,,N,40.8384,-73.8993
X010,Crotona Playground #2,Crotona N between Marmion and Prospect,,N,40.8402,-73.8913
X010,Crotona Playground #5,Crotona Pk E at E 173 St.,,N,40.8377,-73.8908
X010,Crotona Playground #6,Crotona E between Suburban and Charlotte,,N,40.8371,-73.8926
X010,Crotona Playground #7,Crotona E between Claremont and Charlotte,,N,40.8363,-73.8949
X010,Crotona Playground #9,Crotona S between Clinton and Prospect,,N,40.8391,-73.8931
X164,Dawson Playground,Intervale Ave. & Dawson St.,,N,40.8195,-73.8982
X013,Devoe Park,Sedgwick Ave. & Fordham Ave.,,N,40.8635,-73.9058
X021,Drew Playground,Fulton Ave. & E 169 St.,,N,40.8334,-73.9036
X185,Dunbar Playground,"E 161 St., Trinity Ave., E 163 St. and Cauldwell Ave.",,N,40.8233,-73.9064
X156,Eastchester Playground,Adee & Tenbroeck Aves.,,N,40.8698,-73.8531
X165,Edenwald Playground,Schieffelin Ave. & E 229 St.,,N,40.8841,-73.8457
X126,Ferry Point Park,Corner of Balcom Avenue and Dewey Avenue,,Y,40.8157,-73.8298
X122,Florence Colucci Playground,Wilkinson & Mayflower Aves.,,N,40.852,-73.8343
X146,Flynn Playground,Brook Ave. & E 157 St.,,N,40.8212,-73.9121
X150E,Fordham Landing Playground,"Landing Rd., Just off Fordam Rd.",,N,40.8637,-73.9101
X038,Fort #4 Playground,Strong St. & Reservoir Ave.,,N,40.8745,-73.9007
X020,Fort Independence Playground,Sedgwick Ave. & Stevenson Pl.,,N,40.8819,-73.895
X247,Fox Playground,S/E Corner Fox St. & E 156 St.,,N,40.8147,-73.8987
