Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon,Borough
159,Captain William Harry Thompson Playground,E 174 St. & Bronx River Ave.,2.0,N,40.8342,-73.8775,X
179,52 Playground,Kelly St. & Ave. St. John,2.0,N,40.8149,-73.9021,X
216,Abigail Adams Playground,Tinton Ave. & E 156 St.,2.0,N,40.8172,-73.9044,X
169,Agnes Haywood Playground,Barnes Ave. & E 215 St.,2.0,N,40.8804,-73.8619,X
172,Allerton Playground,Bouck & Throop Aves.,2.0,N,40.8659,-73.8503,X
187,Angelo Campanero Playground,"Gun Hill Rd., Eastchester Rd. and O'Neill Pl.",2.0,N,40.8679,-73.843,X
001,Aqueduct Lands Playground,"W 183 St., Aqueduct Ave., W Tremont Ave. and University Ave.",2.0,N,40.8634,-73.9035,X
219,Arcilla Playground,E 164 St. & Teller Ave.,2.0,N,40.8271,-73.9145,X
150J,Bailey Playground,Bailey Ave. & W 234-W 238 Sts.,2.0,N,40.8811,-73.9008,X
166,Behagen Playground,"E 166 St., Union Ave. and Tinton Ave.",2.0,N,40.8254,-73.9015,X
108,Belmont Playground,Crotona Ave. & E 181 St.,2.0,N,40.8497,-73.8875,X
002,Brady Playground,Bronxdale Ave. & Bronx Pk E,2.0,N,40.8512,-73.8705,X
148A3,Bridge Playground,"Boscobel Pl., University Ave. and W 171 St.",2.0,N,40.8443,-73.924,X
183,Bruckner Playground,Phillips Ave. & E 177 St.,2.0,N,40.8268,-73.8289,X
121,Bufano Playground,"Bradford, Edison, La Salle and Waterbury Aves.",2.0,N,40.838,-73.8312,X
194,Capt. Rivera Playground,Forest Ave. & E 156 St.,2.0,N,40.8179,-73.907,X
160,Caserta Playground,St. Raymond Ave. & Odell St.,2.0,N,40.8372,-73.854,X
111,Cedar Playground,W 179 St. & Sedgwick Ave.,2.0,N,40.8548,-73.9177,X
008,Claremont Park,E 170 St. & Teller Ave.,2.0,N,40.8378,-73.9082,X
200,Clark Playground,E 144 St. & 3 Ave.,2.0,N,40.8136,-73.9211,X
010,Crotona Playground #11,Fulton Ave. between E 172 St. and Claremont,2.0,N,40.8384,-73.8993,X
010,Crotona Playground #2,Crotona N between Marmion and Prospect,2.0,N,40.8402,-73.8913,X
010,Crotona Playground #5,Crotona Pk E at E 173 St.,2.0,N,40.8377,-73.8908,X
010,Crotona Playground #6,Crotona E between Suburban and Charlotte,2.0,N,40.8371,-73.8926,X
010,Crotona Playground #7,Crotona E between Claremont and Charlotte,2.0,N,40.8363,-73.8949,X
010,Crotona Playground #9,Crotona S between Clinton and Prospect,2.0,N,40.8391,-73.8931,X
164,Dawson Playground,Intervale Ave. & Dawson St.,2.0,N,40.8195,-73.8982,X
013,Devoe Park,Sedgwick Ave. & Fordham Ave.,2.0,N,40.8635,-73.9058,X
021,Drew Playground,Fulton Ave. & E 169 St.,2.0,N,40.8334,-73.9036,X
185,Dunbar Playground,"E 161 St., Trinity Ave., E 163 St. and Cauldwell Ave.",2.0,N,40.8233,-73.9064,X
156,Eastchester Playground,Adee & Tenbroeck Aves.,2.0,N,40.8698,-73.8531,X
165,Edenwald Playground,Schieffelin Ave. & E 229 St.,2.0,N,40.8841,-73.8457,X
126,Ferry Point Park,Corner of Balcom Avenue and Dewey Avenue,2.0,Y,40.8157,-73.8298,X
122,Florence Colucci Playground,Wilkinson & Mayflower Aves.,2.0,N,40.852,-73.8343,X
146,Flynn Playground,Brook Ave. & E 157 St.,2.0,N,40.8212,-73.9121,X
150E,Fordham Landing Playground,"Landing Rd., Just off Fordam Rd.",2.0,N,40.8637,-73.9101,X
038,Fort #4 Playground,Strong St. & Reservoir Ave.,2.0,N,40.8745,-73.9007,X
020,Fort Independence Playground,Sedgwick Ave. & Stevenson Pl.,2.0,N,40.8819,-73.895,X
247,Fox Playground,S/E Corner Fox St. & E 156 St.,2.0,N,40.8147,-73.8987,X
047,Franz Sigel Park,E 153 St. & Grand Concourse,2.0,Y,40.821,-73.9264,X
114,Goble Playground,Macombs Pl. & Globel Rd,2.0,N,40.8437,-73.9171,X
222,Gouverneur Morris Playground,"3 Ave., Saint Paul's Pl. and Washington Ave.",2.0,N,40.8355,-73.9035,X
235,Grove Hill Playground,Eagle Ave. & E 158 St.,2.0,N,40.8197,-73.9091,X
161,Gun Hill Playground,Holland Ave. & Magenta St.,2.0,Y,40.8747,-73.8656,X
196,Haffen Park,Ely & Burke Ave.,2.0,N,40.8735,-73.8398,X
262,Harding Park,Bolton Ave. between O'Brien and Cornell Aves.,2.0,N,40.8102,-73.8567,X
148M1,Havemeyer,"N/S Cross Bronx Expwy., Havemeyer Ave. and Watson Ave.",2.0,N,40.83,-73.8476,X
208,Haviland Playground,"Pugsley, Haviland, and Watson Aves.",2.0,N,40.8289,-73.8589,X
080,Henry Hudson Park,Independence & W 227 St.,2.0,N,40.8813,-73.9202,X
228,I Am Park,147 St. & Jackson Ave.,2.0,N,40.811,-73.9101,X
029,James Lyons Square Playground,Aldus St. & Bryant Ave.,2.0,N,40.8229,-73.8882,X
017,Richman (Echo) Park,E 178 St. & Upper Level,2.0,N,40.8466,-73.7865,X
033,Kossuth Playground,Moshulu Pkwy N & Kossuth Ave.,2.0,N,40.8776,-73.8827,X
163,Loreto Playground,"Morris Park, Tomlinson, Van Nest and Haight Aves.",2.0,N,40.849,-73.8518,X
131,Lozada Playground,Willis Ave. & E 135 St.,2.0,N,40.8078,-73.9247,X
030,Macombs,E 158th St. & Ruppert Plaza,2.0,Y,40.8279,-73.9287,X
214,Magenta Playground,Olinville Ave. & Rosewood St.,2.0,N,40.8738,-73.8678,X
202,Marble Hill Playground,Marble Hill Ave. between W 228 and W 230 Sts.,2.0,N,40.8775,-73.9076,X
178,Matthews-Muliner Playground,Matthews & Muliner Aves.,2.0,N,40.8467,-73.8613,X
157,Mazzei Playground,Mace Ave. & Williamsbridge Rd.,2.0,N,40.8625,-73.8585,X
